horizon_months,primary_model,secondary_model,MAE_primary,RMSE_primary,MAE_persistence,improvement_vs_persistence_pct,cuts_won,cuts_lost,n_cuts,n_observations,validation_status,selection_reason,forecast_role,spatial_role,spatial_value_label_comparable,secondary_evaluation_scope,secondary_MAE_comparable,secondary_RMSE_comparable,secondary_MAE_persistence_comparable,secondary_improvement_vs_persistence_pct_comparable,secondary_cuts_won,secondary_cuts_lost,secondary_cuts_ties,secondary_n_cuts,phase2_baseline_MAE,phase2_baseline_RMSE,direction_threshold_version
1,PERSISTENCE,LGBM_TEMPORAL,749.5507776761208,1332.2063618242123,749.5507776761208,0.0,0,0,18,1093,VALIDATED_SHORT_TERM,"Persistencia conserva menor MAE/RMSE en EVALUATION_ALL; LGBM_TEMPORAL queda secundario por señal de 1 mes en el universo espacial comparable, sin promoción operativa.",VALIDATED_FORECAST,EXPLORATORY_ONLY,SPATIAL_VALUE_MIXED,EVALUATION_SPATIAL_COMPARABLE,730.0533763805013,1174.4764792699807,761.7290715372907,4.158393888375929,8,9,0,17,1789.7389937106918,3737.492765465608,v2_zero_endpoint_threshold
3,PERSISTENCE,NONE,1005.6942675159236,1988.6299585191628,1005.6942675159236,0.0,0,0,18,1099,VALIDATED_WITH_CAUTION,Persistencia conserva menor MAE/RMSE y gana por parsimonia; LGBM no supera de forma consistente a persistencia en el universo completo.,VALIDATED_FORECAST,EXPLORATORY_ONLY,NO_SPATIAL_VALUE,EVALUATION_SPATIAL_COMPARABLE,976.883454985016,1770.6172671496115,888.356890459364,-9.965202665324686,6,9,0,15,2567.720649895178,5525.569639236331,v2_zero_endpoint_threshold
6,PERSISTENCE,NONE,951.6361136571952,1938.9047341955657,951.6361136571952,0.0,0,0,17,1091,VALIDATED_WITH_CAUTION,Persistencia conserva menor MAE/RMSE y la regla de parsimonia no encuentra una mejora consistente de LGBM_TEMPORAL; el horizonte requiere cautela por extrapolación creciente.,VALIDATED_FORECAST,EXPLORATORY_ONLY,NO_SPATIAL_VALUE,EVALUATION_SPATIAL_COMPARABLE,2231.924863196671,5081.850618447737,866.4098073555166,-157.6061402177594,1,13,0,14,2515.4572697003327,5798.670354497933,v2_zero_endpoint_threshold
12,PERSISTENCE,NONE,1674.9489695780176,4146.164746959571,1674.9489695780176,0.0,0,0,16,1019,VALIDATED_WITH_CAUTION,Persistencia conserva menor MAE/RMSE y la regla de parsimonia no encuentra una mejora consistente de LGBM_TEMPORAL; el horizonte requiere cautela por extrapolación creciente.,VALIDATED_FORECAST,EXPLORATORY_ONLY,NO_SPATIAL_VALUE,EVALUATION_SPATIAL_COMPARABLE,5942.721540056434,10268.560355862282,1381.834586466165,-330.06026902641463,1,12,0,13,4372.823113207547,9746.083410314212,v2_zero_endpoint_threshold
