evaluation_scope,model,horizon,n_cuts,n_cuts_planned,MAE,RMSE,sMAPE,R2,directional_accuracy,n_observations,persistence_improvement_pct,n_cuts_model_beats_persistence,n_cuts_model_loses_to_persistence,n_cuts_model_ties_persistence
EVALUATION_ALL,LGBM_TEMPORAL,1,18,18,843.8067997954638,1696.0479379904648,8.452319254695318,0.9788072854443102,0.646843549862763,1093,-12.575001577821165,5.0,13.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL,3,18,18,1842.331286780604,3831.2900939310975,17.511722526310106,0.8942912728778196,0.6596906278434941,1099,-83.18999583553195,5.0,13.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL,6,17,17,4261.718531095216,13578.605513313696,25.11102037708739,0.586965962408893,0.5022914757103575,1091,-347.83068548304396,0.0,17.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL,12,16,16,7156.7906184375315,14067.479495870368,43.24515519176345,0.4426274327411537,0.3788027477919529,1019,-327.2840993024758,1.0,15.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,18,18,834.4730957424426,1691.3746409751093,8.531362905781108,0.9789239135184036,0.6303751143641354,1093,-11.329761851440116,5.0,13.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,3,18,18,1800.9735504643402,3525.123243201402,16.53127069755404,0.9105110566404212,0.6333030027297544,1099,-79.07763906348652,4.0,14.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,6,17,17,4146.196400734925,13507.720644826752,25.084356720520034,0.5912670584647803,0.4821264894592117,1091,-335.691367869683,0.0,17.0,0.0
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,12,16,16,7844.18646881382,14946.69603072783,47.25180216426594,0.3707787038506416,0.37978410206084395,1019,-368.3239078495666,1.0,15.0,0.0
EVALUATION_ALL,PERSISTENCE,1,18,18,749.5507776761208,1332.2063618242123,7.789922324454576,0.9869246492209307,0.0,1093,0.0,0.0,0.0,18.0
EVALUATION_ALL,PERSISTENCE,3,18,18,1005.6942675159236,1988.6299585191628,10.05756205986087,0.9715207383669124,0.0,1099,0.0,0.0,0.0,18.0
EVALUATION_ALL,PERSISTENCE,6,17,17,951.6361136571952,1938.9047341955654,8.894526736601497,0.9915785196006319,0.0,1091,0.0,0.0,0.0,17.0
EVALUATION_ALL,PERSISTENCE,12,16,16,1674.9489695780176,4146.164746959571,11.778532694695874,0.9515820812202237,0.0,1019,0.0,0.0,0.0,16.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,17,18,730.0533763805013,1174.4764792699807,8.074990317422232,0.9845135577430062,0.6636225266362252,657,4.158393888375929,8.0,9.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,3,15,18,976.8834549850161,1770.6172671496115,11.427041990999305,0.9607240034779463,0.6784452296819788,566,-9.965202665324696,6.0,9.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,6,14,17,2231.924863196671,5081.850618447737,15.6307544124548,0.8580906651725968,0.5586690017513135,571,-157.60614021775942,1.0,13.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,12,13,16,5942.721540056434,10268.560355862282,38.669548035691285,0.32485272157335343,0.4398496240601504,532,-330.0602690264146,1.0,12.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,17,18,734.2844121074253,1174.1308478991716,8.34937586756245,0.9845226712719094,0.6560121765601218,657,3.602942365646843,8.0,9.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,3,15,18,1113.0782457058683,1998.3993293545857,11.583485255171782,0.9499686325480966,0.6484098939929329,566,-25.296292251451135,5.0,10.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,6,14,17,2433.2861572363813,5490.636487639229,17.55439986716748,0.8343419448077519,0.5148861646234676,571,-180.8470237269514,0.0,14.0,0.0
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,12,13,16,6515.617502967808,11339.385926419085,41.597383787633646,0.1766993204644135,0.45112781954887216,532,-371.51935309641675,1.0,12.0,0.0
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,1,17,18,761.7290715372907,1257.854220076791,8.035606506496183,0.9822367007463128,0.0,657,0.0,0.0,0.0,17.0
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,3,15,18,888.356890459364,1441.974557834394,9.789621433378235,0.9739508822971753,0.0,566,0.0,0.0,0.0,15.0
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,6,14,17,866.4098073555166,1423.6063587939607,8.722836763489875,0.9888635438021451,0.0,571,0.0,0.0,0.0,14.0
EVALUATION_SPATIAL_COMPARABLE,PERSISTENCE,12,13,16,1381.8345864661653,2688.930637574017,11.214631608066293,0.9537045190623951,0.0,532,0.0,0.0,0.0,13.0
