colonia,alcaldia,horizonte_anios,prediccion_p50,prediccion_p10,prediccion_p90,categoria_proyectada
San Angel,Alvaro Obregon,1,-0.3270434697633444,-0.3265423542295764,-0.22720114724474455,Estable
San Angel,Alvaro Obregon,3,-0.3139383706051202,-0.30460613973323636,-0.2288705408718856,Estable
San Angel,Alvaro Obregon,5,-0.31410534237231114,-0.29951876426752,-0.22916756678500924,Estable
San Diego Churubusco,Coyoacan,1,-0.22460489095989922,-0.229409367650816,-0.2267119234923888,Estable
San Diego Churubusco,Coyoacan,3,-0.2142958288633758,-0.23105165874018205,-0.19928323280951218,Estable
San Diego Churubusco,Coyoacan,5,-0.21379226322166875,-0.23199181869384622,-0.19557777721709368,Estable
San Jose Insurgentes,Benito Juarez,1,-0.1118419339026445,-0.11228088193519967,-0.04311006757144817,Estable
San Jose Insurgentes,Benito Juarez,3,-0.10490208752577587,-0.09168822243109415,-0.05632245970526623,Estable
San Jose Insurgentes,Benito Juarez,5,-0.10511430534137807,-0.08209356274882963,-0.05619482188166806,Estable
San Mateo,Coyoacan,1,-0.23221122038998618,-0.22832772743527993,-0.227889450701571,Estable
San Mateo,Coyoacan,3,-0.22302898579192812,-0.22841580447697551,-0.2060083092508195,Estable
San Mateo,Coyoacan,5,-0.2225892346016374,-0.22871283039009915,-0.20185427482527118,Estable
San Miguel Chapultepec,Miguel Hidalgo,1,0.0822996473283219,0.0321624489965175,0.13103238597980424,Estable
San Miguel Chapultepec,Miguel Hidalgo,3,0.1004741247774696,0.059096146538793824,0.13319844955058638,Estable
