evaluation_scope,model,horizon,origin_period,target_period,train_MAE,validation_MAE,validation_train_mae_ratio,large_gap_flag,n_train,n_validation,max_train_label_period
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-06,2025-07,600.3510035329923,932.5156783037539,1.5532841168183498,False,1412,39,2025-06
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-07,2025-08,622.4831732571693,939.3355514543853,1.5090135634338078,False,1487,72,2025-07
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-07,2025-08,622.4831732571693,818.6606590185166,1.31515307431499,False,1487,54,2025-07
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-07,2025-08,605.7215191064435,871.9706988851309,1.439557075950441,False,1487,72,2025-07
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-07,2025-08,605.7215191064435,718.4492075138332,1.186104810299104,False,1487,54,2025-07
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-08,2025-09,621.7648343198167,435.651477233561,0.7006692131602208,False,1550,65,2025-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-08,2025-09,621.7648343198167,507.8971693853658,0.816863774454184,False,1550,45,2025-08
EVALUATION_ALL,LGBM_TEMPORAL_SPATIAL,1,2025-08,2025-09,605.1426325100837,433.9650322452746,0.7171285064567704,False,1550,65,2025-08
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL_SPATIAL,1,2025-08,2025-09,605.1426325100837,507.7100788547775,0.8389924153068449,False,1550,45,2025-08
EVALUATION_ALL,LGBM_TEMPORAL,1,2025-10,2025-11,592.8183521170012,590.7682329217365,0.9965417413480141,False,1668,53,2025-10
EVALUATION_SPATIAL_COMPARABLE,LGBM_TEMPORAL,1,2025-10,2025-11,592.8183521170012,611.9023348630227,1.0321919567399882,False,1668,31,2025-10
