evaluation_scope,zone_id,n_predictions,mae_persistence,mae_temporal,mae_temporal_spatial,spatial_improvement_pct,mean_neighbor_coverage,colonia
EVALUATION_ALL,col_058b0a95e3e35746bf806f626cc29e3c,7,4850.428571428572,13468.064910768244,13095.92950282487,2.7630948499946446,,Del Valle Centro
EVALUATION_ALL,col_075ade1e8b735efcac21da8802b37c0a,59,161.38983050847457,966.8585040360664,964.314038649222,0.263168330859456,0.8813559322033897,Obrero Popular
EVALUATION_ALL,col_0d7a0b5c2d6b5f31bd586ed063d99183,51,256.2352941176471,1783.2971970458468,1343.9046993538434,24.639330921390275,0.6666666666666666,San Alvaro
EVALUATION_ALL,col_0f6878a834535080af77fae943ae9b95,2,9382.0,19608.24609817245,19644.42806378752,-0.18452423247809743,1.0,Tabacalera
EVALUATION_ALL,col_145462232cb0506eac0d954b79bb4e67,55,356.09090909090907,1744.9631450405664,1582.5086038118836,9.30991245805974,0.8727272727272727,Tlatilco
EVALUATION_ALL,col_175c1726756a5dda90d2345c13795848,44,614.2272727272727,2425.293179339511,2301.2850135060958,5.113120627634256,0.7954545454545454,Angel Zimbron
EVALUATION_ALL,col_19663fbe37bd50ee8eff60a93705eb35,63,555.2698412698413,1927.1266391031413,1911.677856425998,0.8016485457506286,,Nextitla
EVALUATION_ALL,col_1fd836f8991b530f861257d28b0cb970,65,172.1846153846154,880.5492031664053,696.2473044811368,20.930335070718282,,Agricola
EVALUATION_ALL,col_2006d9e5f6975534a01a4ae3d0063ec1,63,2312.4603174603176,4796.175964905291,4962.328738164088,-3.464276008106752,0.8015873015873016,Plutarco Elias Calles
EVALUATION_ALL,col_218c753a6a38548aa02718260c2caef7,63,145.22222222222223,864.8410053382647,851.7707910991238,1.5112852140988349,0.7354497354497354,Del Recreo
EVALUATION_ALL,col_21faee63d17e537f90a501b5c0313a20,56,1095.8214285714287,3291.776989598741,4126.355923380129,-25.353446980717887,0.6309523809523808,General Pedro Maria Anaya
EVALUATION_ALL,col_296d6268c64b5552821a2eebfad2256f,56,1049.9464285714287,2416.0713949284664,2350.399201887471,2.718139587217775,,Lomas de Chapultepec Seccion III
EVALUATION_ALL,col_2d383baad6155258af666ad388181e00,30,1554.6666666666667,7802.058231617503,7433.379192155426,4.725407431182989,,Ampliacion Granada
EVALUATION_ALL,col_321ef9a198015257a1d0afd095d56686,64,236.921875,1355.4232482317375,1115.7914883682374,17.679478360439784,0.8828125,Victoria de las Democracias
EVALUATION_ALL,col_333380f5322950cf9a22ac2947f13767,50,469.26,1449.0808325064822,1231.1577286221834,15.03871274781519,,Lomas de Chapultepec Seccion V
EVALUATION_ALL,col_347bf8c118ae5cde8343a717c911525d,56,527.9107142857143,2162.9531428094933,2392.098399298699,-10.594092491137616,0.7559523809523808,Independencia
EVALUATION_ALL,col_34ef10debc6452f7a37e4eb02f41010f,60,604.6833333333333,1740.5406836437053,2110.602809009289,-21.261331541580724,0.525,Villa Coyoacan
EVALUATION_ALL,col_39b7c034d6a15d22952ae31d1eab536a,44,960.6818181818181,4869.171950269094,5249.696560111196,-7.814975805507802,0.5272727272727273,Tlaxpana
