station_id,zone_id_catalog,zone_id_spatial,inside_catalog_polygon,distance_to_catalog_polygon_m,possible_zone_candidate,candidate_basis,n_covering_polygons,status,assignment_changed
549,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
550,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
551,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
552,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
553,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
554,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
555,col_bd478b6a570f533f803bd0118bf3f055,col_bd478b6a570f533f803bd0118bf3f055,True,0.0,"[""col_bd478b6a570f533f803bd0118bf3f055""]",covers,1,inside,False
556,col_e56a7334b36e5ca6841813031c3b8d2b,,False,410.1774222968454,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",nearest_available_polygon_not_assignment,0,outside,False
557,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
558,col_e56a7334b36e5ca6841813031c3b8d2b,,False,474.697286578526,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",nearest_available_polygon_not_assignment,0,outside,False
559,col_df8f37e24dff550bb52ef711568f9cb7,col_df8f37e24dff550bb52ef711568f9cb7,True,0.0,"[""col_df8f37e24dff550bb52ef711568f9cb7""]",covers,1,inside,False
560,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
561,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
562,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
563,col_eb93b25ca61954fa8e9ee2ca2ca57f16,col_eb93b25ca61954fa8e9ee2ca2ca57f16,True,0.0,"[""col_eb93b25ca61954fa8e9ee2ca2ca57f16""]",covers,1,inside,False
