feature_name,horizon,n_rows_total,n_valid,coverage,coverage_evaluation_all,calibration_coverage,selected_for_model
lag_6,12,1696,1555,0.9168632075471698,0.9205103042198234,0.4755043227665706,False
lag_12,12,1696,1472,0.8679245283018868,0.8400392541707556,0.12536023054755044,False
rolling_mean_3,12,1696,873,0.5147405660377359,0.8567222767419038,0.7550432276657061,True
rolling_mean_6,12,1696,689,0.40625,0.676153091265947,0.4668587896253602,False
rolling_mean_12,12,1696,229,0.13502358490566038,0.22473012757605496,0.11959654178674352,False
rolling_std_3,12,1696,873,0.5147405660377359,0.8567222767419038,0.7550432276657061,True
rolling_std_6,12,1696,689,0.40625,0.676153091265947,0.4668587896253602,False
rolling_std_12,12,1696,229,0.13502358490566038,0.22473012757605496,0.11959654178674352,False
growth_1,12,1696,952,0.5613207547169812,0.9342492639842983,0.8760806916426513,True
growth_3,12,1696,956,0.5636792452830188,0.9381746810598626,0.659942363112392,True
growth_6,12,1696,925,0.5454009433962265,0.9077526987242395,0.3976945244956772,False
growth_12,12,1696,826,0.48702830188679247,0.8105986261040236,0.07780979827089338,False
month,12,1696,1696,1.0,1.0,1.0,True
year,12,1696,1696,1.0,1.0,1.0,True
sin_month,12,1696,1696,1.0,1.0,1.0,True
cos_month,12,1696,1696,1.0,1.0,1.0,True
trend_3,12,1696,873,0.5147405660377359,0.8567222767419038,0.7550432276657061,True
trend_6,12,1696,689,0.40625,0.676153091265947,0.4668587896253602,False
trend_12,12,1696,229,0.13502358490566038,0.22473012757605496,0.11959654178674352,False
neighbor_trips_lag1,12,1696,1000,0.589622641509434,0.6535819430814525,,True
neighbor_growth_lag1,12,1696,933,0.5501179245283019,0.6143277723258096,,True
neighbor_trips_mean_lag3,12,1696,861,0.5076650943396226,0.5642787046123651,,True
neighbor_active_zones,12,1696,1264,0.7452830188679245,0.732090284592738,,True
neighbor_observation_coverage,12,1696,1264,0.7452830188679245,0.732090284592738,,True
