zone_id,neighbor_zone_id,relation_type,distance_centroid_m,weight_raw,weight_normalized
col_21faee63d17e537f90a501b5c0313a20,col_3c107741e9aa5999ac5f00ed40d5deea,queen,1203.3160153572285,1.0,0.3333333333333333
col_3c107741e9aa5999ac5f00ed40d5deea,col_21faee63d17e537f90a501b5c0313a20,queen,1203.3160153572285,1.0,0.3333333333333333
col_21faee63d17e537f90a501b5c0313a20,col_6573c9286c5a50288130ecf1765ab3b5,queen,880.9321517372647,1.0,0.3333333333333333
col_6573c9286c5a50288130ecf1765ab3b5,col_21faee63d17e537f90a501b5c0313a20,queen,880.9321517372647,1.0,0.2
col_21faee63d17e537f90a501b5c0313a20,col_8694171d7ed551d78020504424e7148c,queen,853.2186564634628,1.0,0.3333333333333333
col_8694171d7ed551d78020504424e7148c,col_21faee63d17e537f90a501b5c0313a20,queen,853.2186564634628,1.0,0.5
col_321ef9a198015257a1d0afd095d56686,col_a21a9068f97957a2a0828f64e9102bde,queen,781.4988994574471,1.0,0.5
col_a21a9068f97957a2a0828f64e9102bde,col_321ef9a198015257a1d0afd095d56686,queen,781.4988994574471,1.0,0.3333333333333333
col_321ef9a198015257a1d0afd095d56686,col_d24f94824377561c8616923a56c96081,queen,314.1401769548806,1.0,0.5
col_d24f94824377561c8616923a56c96081,col_321ef9a198015257a1d0afd095d56686,queen,314.1401769548806,1.0,0.5
col_347bf8c118ae5cde8343a717c911525d,col_81ad18034e5855e38b63dfffe608d3d3,queen,835.5960828750295,1.0,0.3333333333333333
col_81ad18034e5855e38b63dfffe608d3d3,col_347bf8c118ae5cde8343a717c911525d,queen,835.5960828750295,1.0,0.2
col_347bf8c118ae5cde8343a717c911525d,col_abad05146e545e0cb59abdc228f8373c,queen,650.7885966988957,1.0,0.3333333333333333
col_abad05146e545e0cb59abdc228f8373c,col_347bf8c118ae5cde8343a717c911525d,queen,650.7885966988957,1.0,0.3333333333333333
col_347bf8c118ae5cde8343a717c911525d,col_c4ce45851ad35a61b8fb1e683c4b52a5,queen,636.6360569437733,1.0,0.3333333333333333
col_c4ce45851ad35a61b8fb1e683c4b52a5,col_347bf8c118ae5cde8343a717c911525d,queen,636.6360569437733,1.0,0.5
col_34ef10debc6452f7a37e4eb02f41010f,col_4b057d99c17f5783822af98b43744780,queen,1104.1093639184542,1.0,0.5
col_4b057d99c17f5783822af98b43744780,col_34ef10debc6452f7a37e4eb02f41010f,queen,1104.1093639184542,1.0,0.5
col_34ef10debc6452f7a37e4eb02f41010f,col_6573c9286c5a50288130ecf1765ab3b5,queen,751.0762772837677,1.0,0.5
col_6573c9286c5a50288130ecf1765ab3b5,col_34ef10debc6452f7a37e4eb02f41010f,queen,751.0762772837677,1.0,0.2
col_39b7c034d6a15d22952ae31d1eab536a,col_6f85f8cb1357503bae86559c4ab47194,queen,719.8402489009621,1.0,0.2
col_6f85f8cb1357503bae86559c4ab47194,col_39b7c034d6a15d22952ae31d1eab536a,queen,719.8402489009621,1.0,0.25
col_39b7c034d6a15d22952ae31d1eab536a,col_76cd2cc2efb657e1a3779dc11ff63e1d,queen,1182.568294696563,1.0,0.2
col_76cd2cc2efb657e1a3779dc11ff63e1d,col_39b7c034d6a15d22952ae31d1eab536a,queen,1182.568294696563,1.0,0.2
col_39b7c034d6a15d22952ae31d1eab536a,col_bd478b6a570f533f803bd0118bf3f055,queen,1387.4956993830053,1.0,0.2
col_bd478b6a570f533f803bd0118bf3f055,col_39b7c034d6a15d22952ae31d1eab536a,queen,1387.4956993830053,1.0,0.2
col_39b7c034d6a15d22952ae31d1eab536a,col_e38591c35bd05184a3caa0318add5f06,queen,1155.9389673498292,1.0,0.2
col_e38591c35bd05184a3caa0318add5f06,col_39b7c034d6a15d22952ae31d1eab536a,queen,1155.9389673498292,1.0,0.16666666666666666
col_39b7c034d6a15d22952ae31d1eab536a,col_fb144842ece557ce8e184ba17ea11743,queen,857.7711196761841,1.0,0.2
col_fb144842ece557ce8e184ba17ea11743,col_39b7c034d6a15d22952ae31d1eab536a,queen,857.7711196761841,1.0,0.2
col_3c107741e9aa5999ac5f00ed40d5deea,col_6573c9286c5a50288130ecf1765ab3b5,queen,1624.6520657047377,1.0,0.3333333333333333
col_6573c9286c5a50288130ecf1765ab3b5,col_3c107741e9aa5999ac5f00ed40d5deea,queen,1624.6520657047377,1.0,0.2
col_3c107741e9aa5999ac5f00ed40d5deea,col_aaef3bfb4fb259e8ab32bf1eb9404368,queen,429.9430572451399,1.0,0.3333333333333333
col_aaef3bfb4fb259e8ab32bf1eb9404368,col_3c107741e9aa5999ac5f00ed40d5deea,queen,429.9430572451399,1.0,1.0
col_43db8a95c872541680d0688e731fe141,col_62bb8f5cf8d25a898a34208ad6dee465,queen,1840.3946508372878,1.0,0.3333333333333333
col_62bb8f5cf8d25a898a34208ad6dee465,col_43db8a95c872541680d0688e731fe141,queen,1840.3946508372878,1.0,0.3333333333333333
col_43db8a95c872541680d0688e731fe141,col_926ff32000a751399a54daad7479254d,queen,1541.823802805344,1.0,0.3333333333333333
col_926ff32000a751399a54daad7479254d,col_43db8a95c872541680d0688e731fe141,queen,1541.823802805344,1.0,0.25
col_43db8a95c872541680d0688e731fe141,col_b0d667d100335a2cbd38dd885b4a49ae,queen,1320.8585095009305,1.0,0.3333333333333333
col_b0d667d100335a2cbd38dd885b4a49ae,col_43db8a95c872541680d0688e731fe141,queen,1320.8585095009305,1.0,0.25
col_46ef3d6067b85bc580fd6f574f0e5a26,col_92cd6e3f23155eedb10936246b2da76c,queen,1368.0207155624712,1.0,0.14285714285714285
col_92cd6e3f23155eedb10936246b2da76c,col_46ef3d6067b85bc580fd6f574f0e5a26,queen,1368.0207155624712,1.0,0.2
col_46ef3d6067b85bc580fd6f574f0e5a26,col_a8d3b136a1115b0380f6f041ad7b12a8,queen,671.9008175872104,1.0,0.14285714285714285
col_a8d3b136a1115b0380f6f041ad7b12a8,col_46ef3d6067b85bc580fd6f574f0e5a26,queen,671.9008175872104,1.0,0.3333333333333333
col_46ef3d6067b85bc580fd6f574f0e5a26,col_ba378e9f675c57f6b84cd80ba4906921,queen,1129.4272615122522,1.0,0.14285714285714285
col_ba378e9f675c57f6b84cd80ba4906921,col_46ef3d6067b85bc580fd6f574f0e5a26,queen,1129.4272615122522,1.0,0.5
col_47716220585b527aaf095e5cd827326f,col_cbef3a463b0b5bc2ac31e747b6721178,queen,1331.0335610513728,1.0,1.0
col_cbef3a463b0b5bc2ac31e747b6721178,col_47716220585b527aaf095e5cd827326f,queen,1331.0335610513728,1.0,1.0
col_479170cdfd5b53c484ffa7a376547b3a,col_6954f4d5482a5e07b5721c81d464cd43,queen,847.6373030501413,1.0,0.5
col_6954f4d5482a5e07b5721c81d464cd43,col_479170cdfd5b53c484ffa7a376547b3a,queen,847.6373030501413,1.0,0.5
col_479170cdfd5b53c484ffa7a376547b3a,col_fff7ee1276da58efb088edf2d4f0141e,queen,1434.712066304015,1.0,0.5
col_fff7ee1276da58efb088edf2d4f0141e,col_479170cdfd5b53c484ffa7a376547b3a,queen,1434.712066304015,1.0,0.2
col_49351caf73a652ba8bcc7655ce37dd18,col_926ff32000a751399a54daad7479254d,queen,1392.2359310704092,1.0,0.25
col_926ff32000a751399a54daad7479254d,col_49351caf73a652ba8bcc7655ce37dd18,queen,1392.2359310704092,1.0,0.25
col_49351caf73a652ba8bcc7655ce37dd18,col_92cd6e3f23155eedb10936246b2da76c,queen,1137.8360819787576,1.0,0.25
col_92cd6e3f23155eedb10936246b2da76c,col_49351caf73a652ba8bcc7655ce37dd18,queen,1137.8360819787576,1.0,0.2
col_49351caf73a652ba8bcc7655ce37dd18,col_b0d667d100335a2cbd38dd885b4a49ae,queen,2010.0816518860872,1.0,0.25
col_b0d667d100335a2cbd38dd885b4a49ae,col_49351caf73a652ba8bcc7655ce37dd18,queen,2010.0816518860872,1.0,0.25
col_49351caf73a652ba8bcc7655ce37dd18,col_fb144842ece557ce8e184ba17ea11743,queen,925.9780590583337,1.0,0.25
col_fb144842ece557ce8e184ba17ea11743,col_49351caf73a652ba8bcc7655ce37dd18,queen,925.9780590583337,1.0,0.2
col_4a6ce89e87ac5037b13cd12239825b31,col_e426afce41e3549e9144c6ee8c8047dc,queen,924.5946325883199,1.0,1.0
col_e426afce41e3549e9144c6ee8c8047dc,col_4a6ce89e87ac5037b13cd12239825b31,queen,924.5946325883199,1.0,0.3333333333333333
col_4b057d99c17f5783822af98b43744780,col_6573c9286c5a50288130ecf1765ab3b5,queen,1208.9792706888204,1.0,0.5
col_6573c9286c5a50288130ecf1765ab3b5,col_4b057d99c17f5783822af98b43744780,queen,1208.9792706888204,1.0,0.2
col_4d16bf4016d1531fac1806d04420e1fc,col_6573c9286c5a50288130ecf1765ab3b5,queen,1543.5620700712152,1.0,0.25
col_6573c9286c5a50288130ecf1765ab3b5,col_4d16bf4016d1531fac1806d04420e1fc,queen,1543.5620700712152,1.0,0.2
col_4d16bf4016d1531fac1806d04420e1fc,col_81496637921a5e749f117e8ef4f2ee99,queen,663.5641757919936,1.0,0.25
col_81496637921a5e749f117e8ef4f2ee99,col_4d16bf4016d1531fac1806d04420e1fc,queen,663.5641757919936,1.0,0.25
col_4d16bf4016d1531fac1806d04420e1fc,col_8694171d7ed551d78020504424e7148c,queen,806.2280763498235,1.0,0.25
col_8694171d7ed551d78020504424e7148c,col_4d16bf4016d1531fac1806d04420e1fc,queen,806.2280763498235,1.0,0.5
col_4d16bf4016d1531fac1806d04420e1fc,col_9f7b23fc019150a58f8d3fa8ecb0545b,queen,770.7731881597812,1.0,0.25
col_9f7b23fc019150a58f8d3fa8ecb0545b,col_4d16bf4016d1531fac1806d04420e1fc,queen,770.7731881597812,1.0,0.16666666666666666
col_506a1cf0beec53eb97a74f9abc9cfe66,col_81496637921a5e749f117e8ef4f2ee99,queen,567.7425266895775,1.0,0.3333333333333333
col_81496637921a5e749f117e8ef4f2ee99,col_506a1cf0beec53eb97a74f9abc9cfe66,queen,567.7425266895775,1.0,0.25
